split,symbol,idx,date,kronos,v20,v60,v256,ewma,realised
train,T,1392,2021-07-15 00:00:00+00:00,0.0029382104553550468,0.008581640350287136,0.013473444777090908,0.012206779212692809,0.011373799780783525,0.007158158145523276
train,T,1463,2021-10-25 00:00:00+00:00,0.003116673331183749,0.011650454062915707,0.008917312029686231,0.01234936844376824,0.010119815755528188,0.009181491384005489
train,T,1534,2022-02-04 00:00:00+00:00,0.0023746055250244724,0.02568298276836656,0.021046407025377946,0.013997017557077033,0.022672097529661196,0.012488325228460037
train,T,1605,2022-05-18 00:00:00+00:00,0.007795904970684586,0.019226201957383778,0.016965129859254507,0.015286236681660563,0.018153703434554823,0.014063673308342578
train,T,1676,2022-08-30 00:00:00+00:00,0.007561748334254553,0.009114924670535847,0.016522948207946045,0.016377133543416016,0.014928207230304403,0.013225723783627472
train,T,1747,2022-12-09 00:00:00+00:00,0.012473521707044907,0.011023038340757881,0.01764716146218322,0.01757332196000072,0.015661272366726858,0.015171784168255455
holdout,F,256,2024-05-30 00:00:00+00:00,0.0040272044440356316,0.015285725142361966,0.020396251758930596,0.021436262078771078,0.01960158194848211,0.015212265870224324
holdout,F,279,2024-07-03 00:00:00+00:00,0.007791079047219759,0.014787661065840844,0.01847323106095203,0.020530795873276997,0.017539295536170653,0.048975080587942345
holdout,F,302,2024-08-06 00:00:00+00:00,0.007501949046659518,0.050263040112730396,0.0319592713071165,0.024394810631342186,0.038728381216423295,0.01652282987251263
holdout,F,325,2024-09-09 00:00:00+00:00,0.013796525309075105,0.01635962133293863,0.032366809460591964,0.024529432546228414,0.029139335230127086,0.017600983694644114
holdout,F,348,2024-10-10 00:00:00+00:00,0.006373117138809775,0.015924788986567063,0.03198337156614853,0.02464738066329516,0.023011642812326982,0.027624341707589595
holdout,F,371,2024-11-12 00:00:00+00:00,0.010282620847260435,0.028274894916880025,0.020449493267527038,0.02402374180368739,0.025543209314886156,0.016388061111362564
holdout,F,394,2024-12-16 00:00:00+00:00,0.007252809256313688,0.01647412037813227,0.02072017667141904,0.023663440630756948,0.02045788189782401,0.016028619661327265
holdout,F,417,2025-01-22 00:00:00+00:00,0.006149787490240341,0.013090451242842152,0.0207207423362366,0.023273446201269775,0.0179933386145967,0.024111823433264387
holdout,F,440,2025-02-25 00:00:00+00:00,0.005784067000376298,0.022775163241651464,0.0183772300435298,0.02311658587992654,0.020141743996714163,0.021901733216644414
holdout,F,463,2025-03-28 00:00:00+00:00,0.0043608273034885904,0.023471339349059827,0.021034404272528173,0.023533766891313933,0.021167633495182157,0.03640244069218579
holdout,F,486,2025-05-01 00:00:00+00:00,0.010991079216665943,0.03564775330172513,0.027531646570923957,0.024554666402870403,0.02740561413168239,0.01201473214296104
holdout,F,509,2025-06-04 00:00:00+00:00,0.005584403527159639,0.015369913209029792,0.024425228622225393,0.024516821809650508,0.021722871188015972,0.017623782082441548
holdout,F,532,2025-07-09 00:00:00+00:00,0.008358090223792124,0.017865833719684553,0.017695226488067817,0.02456151504329372,0.019878305204102015,0.016131992609103817
holdout,F,555,2025-08-11 00:00:00+00:00,0.010146755955535682,0.016088637281998615,0.016374744962544388,0.020901254835810876,0.017566160868337097,0.012083390668986829
holdout,F,578,2025-09-12 00:00:00+00:00,0.017821365867893946,0.013277804713445373,0.015839663438461965,0.020226575170128255,0.015467780535779869,0.02085223578814836
holdout,F,601,2025-10-15 00:00:00+00:00,0.01444272536893781,0.02113023713472017,0.016322722196276885,0.020421064447677707,0.018556722957061553,0.03106255576897933
holdout,F,624,2025-11-17 00:00:00+00:00,0.0080945186861206,0.031379350901254155,0.022827277407807697,0.020825185539020245,0.023676998388955938,0.016794359923973802
holdout,F,647,2025-12-19 00:00:00+00:00,0.01206957698377021,0.016722339348140935,0.023850462482277103,0.0208235489499225,0.019736511353030187,0.01598601329032052
holdout,F,670,2026-01-26 00:00:00+00:00,0.010020264902746394,0.017772177032786458,0.015573318615487807,0.0209339515759946,0.0185248557699683,0.01471306726375213
holdout,F,693,2026-02-27 00:00:00+00:00,0.009206232829802295,0.015359104940876566,0.01569838746585253,0.02027275721405572,0.017529437205419825,0.020451345639881928
holdout,F,716,2026-04-01 00:00:00+00:00,0.009499939560152586,0.01683432003570374,0.019744525574635706,0.020529819410697373,0.019441771391856127,0.019952636390189397
holdout,F,739,2026-05-05 00:00:00+00:00,0.007423339351815204,0.021822528687774723,0.02043731718384782,0.018773018325540288,0.019557943770645327,0.04679772348390863
holdout,INTC,256,2024-05-30 00:00:00+00:00,0.009081628547792518,0.017793531430102726,0.026331730100914535,0.025529330417661547,0.0246963248309471,0.012509399776102964
holdout,INTC,279,2024-07-03 00:00:00+00:00,0.008223768795135115,0.010978446667421215,0.020583413956554105,0.02365845469712061,0.018829745040894928,0.026898526278324782
holdout,INTC,302,2024-08-06 00:00:00+00:00,0.012832139601461942,0.07050438857960636,0.044762036828202005,0.030804441581068997,0.059264531306667145,0.045765720769291675
holdout,INTC,325,2024-09-09 00:00:00+00:00,0.015162209295604408,0.04197534592694849,0.050658863410024395,0.03274260672535543,0.05153902390718867,0.024514562083032855
holdout,INTC,348,2024-10-10 00:00:00+00:00,0.013882248364152958,0.02510382422078164,0.05198494785456226,0.03313838979936331,0.03974695899530159,0.030745189974318025
holdout,INTC,371,2024-11-12 00:00:00+00:00,0.014920545567790393,0.03383092800326327,0.03273022636176661,0.03355120586692309,0.0366636972325022,0.025740348741872594
holdout,INTC,394,2024-12-16 00:00:00+00:00,0.011438167083916697,0.02514259410924303,0.027903490971104287,0.033720892565012116,0.03164115766073844,0.023673387614682663
holdout,INTC,417,2025-01-22 00:00:00+00:00,0.019098157192145613,0.02690980593514278,0.03055494575098556,0.034119342183233946,0.030919229584298158,0.048271009477579854
holdout,INTC,440,2025-02-25 00:00:00+00:00,0.01688501575474431,0.04929688198027822,0.036684282179771946,0.03577107886082334,0.04251985391379667,0.04755726256977988
holdout,INTC,463,2025-03-28 00:00:00+00:00,0.029578881179637858,0.04605340868548705,0.042171901279281346,0.03735333371150463,0.04315669721363276,0.061470361612408944
holdout,INTC,486,2025-05-01 00:00:00+00:00,0.008920168837695409,0.061137767757426346,0.05255540041033433,0.04027484976977268,0.04981768648603955,0.022393237976711215
holdout,INTC,509,2025-06-04 00:00:00+00:00,0.011399426123273528,0.023276027710955854,0.044813971750464365,0.040095408792197,0.03736673847967671,0.032756007316797786
holdout,INTC,532,2025-07-09 00:00:00+00:00,0.019995423149427396,0.03647969549932858,0.03156057220049759,0.04120734069792545,0.0358393024781514,0.025444421802743
holdout,INTC,555,2025-08-11 00:00:00+00:00,0.007934601856542213,0.02601843129877151,0.02850214572065282,0.04108487919824462,0.03092412516882948,0.03579423970578825
holdout,INTC,578,2025-09-12 00:00:00+00:00,0.013847180881905187,0.03372998443715027,0.030612508973978457,0.035455988946987996,0.030921741993534885,0.055403656585896376
holdout,INTC,601,2025-10-15 00:00:00+00:00,0.005758318232731637,0.05798545097052428,0.04290269397819279,0.0384912996675979,0.04303077261026396,0.02930551602498106
holdout,INTC,624,2025-11-17 00:00:00+00:00,0.018863373079803097,0.030421440018368745,0.039734759609014764,0.03838733833740741,0.03665085956808331,0.041328083704152634
holdout,INTC,647,2025-12-19 00:00:00+00:00,0.026281685385694562,0.0414463841839432,0.035494124383541534,0.0391932351887808,0.03727893401350641,0.03699572132412477
holdout,INTC,670,2026-01-26 00:00:00+00:00,0.026096287505273444,0.06270220509421934,0.04595468980282257,0.04227851081725156,0.054507580558115734,0.03964330194469109
holdout,INTC,693,2026-02-27 00:00:00+00:00,0.02921660155624255,0.031124212824348546,0.046945071950666516,0.04142381974870654,0.04553439239417923,0.04037506773165522
holdout,INTC,716,2026-04-01 00:00:00+00:00,0.044317426969532364,0.04316673446118841,0.049498593542480554,0.04105703538937677,0.04393405602837857,0.05751468187745189
holdout,INTC,739,2026-05-05 00:00:00+00:00,0.015299733001027846,0.05927378408619141,0.04884242380991329,0.04170910006620445,0.05498001386700117,0.05518387897435729
holdout,PFE,256,2024-05-30 00:00:00+00:00,0.006164750688625953,0.02031770535315257,0.01671852112045554,0.015828481734081624,0.017252682603110924,0.015054770172126867
holdout,PFE,279,2024-07-03 00:00:00+00:00,0.009077732958265805,0.013633411981330138,0.016461765674665875,0.01567755784123413,0.015620644292218487,0.013234296648005678
holdout,PFE,302,2024-08-06 00:00:00+00:00,0.010227748169920087,0.01442822055610813,0.014594448110220579,0.015910966872954867,0.014945559432202453,0.010308982448144864
holdout,PFE,325,2024-09-09 00:00:00+00:00,0.010070994853585901,0.009452646948315246,0.012416547402265242,0.015849571545095798,0.012352795218090504,0.012363478918280482
holdout,PFE,348,2024-10-10 00:00:00+00:00,0.005068017475165004,0.013602716695099529,0.012923082319293585,0.015759154464081226,0.013413759173397766,0.01084253797223639
holdout,PFE,371,2024-11-12 00:00:00+00:00,0.004527415919601551,0.011279180790854592,0.01264281507569887,0.015357224506900594,0.013075468201884414,0.01823832887352195
holdout,PFE,394,2024-12-16 00:00:00+00:00,0.00920781995476044,0.017024750979970957,0.014551451101417038,0.015287449012948994,0.014898918908678073,0.014693600435212268
holdout,PFE,417,2025-01-22 00:00:00+00:00,0.0043795364232224136,0.009550011522798973,0.015080420235857771,0.014427478426931668,0.013809855642340985,0.014455351462252438
holdout,PFE,440,2025-02-25 00:00:00+00:00,0.004050895774140085,0.013335751002987601,0.013930913995168557,0.014482569864853509,0.0135033156736397,0.01143591187917798
holdout,PFE,463,2025-03-28 00:00:00+00:00,0.002814227682357388,0.012294155982080565,0.012099270995234241,0.01409296405373223,0.012589618908867261,0.02286361019170573
holdout,PFE,486,2025-05-01 00:00:00+00:00,0.0035679045691265547,0.023935139580540957,0.017087282553880017,0.015378162966748678,0.018637003645119873,0.021473080566282627
holdout,PFE,509,2025-06-04 00:00:00+00:00,0.002704667532591638,0.020691737342873082,0.01949724587387382,0.015323560068641174,0.01863007394311873,0.012298383041918253
holdout,PFE,532,2025-07-09 00:00:00+00:00,0.01082417604637523,0.012129106551326827,0.017045757307713332,0.015136901582139387,0.015368112244146512,0.019081211297454617
holdout,PFE,555,2025-08-11 00:00:00+00:00,0.005992443079823759,0.02087334914688199,0.016384360059155976,0.015682862822632367,0.01840681323006194,0.01199644197341805
holdout,PFE,578,2025-09-12 00:00:00+00:00,0.0026689459743490544,0.011498211103631546,0.01502439269614033,0.015725240064536756,0.014989535309068745,0.026299184084778004
holdout,PFE,601,2025-10-15 00:00:00+00:00,0.009681636125708363,0.024981752250534138,0.020071763680629993,0.01694613735828209,0.02085921884875827,0.013487929212743697
holdout,PFE,624,2025-11-17 00:00:00+00:00,0.005264032930158279,0.0151086201081531,0.018560429486690403,0.01703448274335063,0.01820104376726889,0.014696690622107463
holdout,PFE,647,2025-12-19 00:00:00+00:00,0.006053046318711875,0.016369325625257874,0.01937769940298644,0.01683061295591242,0.017186519602413994,0.008006725842780341
holdout,PFE,670,2026-01-26 00:00:00+00:00,0.004838944135333425,0.009045599806753905,0.014162228135709064,0.01653217065470622,0.013513877274999472,0.01805559341544166
